"brand","model","regdate","max","min","count","average","median"
"aprilia","2015 rsv4 r aprc abs","2004","1200000","1200000","1","1200000.0","1200000"
"aprilia","2015 rsv4 r aprc abs","2007","3000000","3000000","1","3000000.0","3000000"
"aprilia","2015 rsv4 r aprc abs","2009","5500000","1000000","12","4483333.333333333","5500000.0"
"aprilia","2015 rsv4 r aprc abs","2014","17000000","5000000","2","11000000.0","11000000.0"
"aprilia","2015 rsv4 r aprc abs","2015","220000000","220000000","1","220000000.0","220000000"
"aprilia","2015 rsv4 r aprc abs","2017","1000000000","1500000","2","500750000.0","500750000.0"
"aprilia","2015 rsv4 r aprc abs","2020","39000000","39000000","1","39000000.0","39000000"
"aprilia","2015 rsv4 r aprc abs","2021","25000000","2200000","36","2941666.6666666665","2200000.0"
"aprilia","2015 tuono v4 r aprc abs","2008","4000000","4000000","1","4000000.0","4000000"
"aprilia","2015 tuono v4 r aprc abs","2009","6000000","6000000","1","6000000.0","6000000"
"aprilia","2015 tuono v4 r aprc abs","2010","3200000","3200000","1","3200000.0","3200000"
"aprilia","2015 tuono v4 r aprc abs","2011","3600000","3600000","1","3600000.0","3600000"
"aprilia","2015 tuono v4 r aprc abs","2013","2700000","2700000","1","2700000.0","2700000"
"aprilia","2015 tuono v4 r aprc abs","2016","3500000","3500000","1","3500000.0","3500000"
"aprilia","2015 tuono v4 r aprc abs","2017","8888000","8888000","60","8888000.0","8888000.0"
"aprilia","2015 tuono v4 r aprc abs","2019","3000000","3000000","1","3000000.0","3000000"
"aprilia","2015 tuono v4 r aprc abs","2020","2700000","2700000","1","2700000.0","2700000"
"aprilia","caponord 1200 abs travel pack","2015","20000000","3000000","16","4062500.0","3000000.0"
"aprilia","caponord 1200 abs travel pack","2019","17000000","17000000","55","17000000.0","17000000"
"aprilia","dorsoduro 750 abs","2008","2300000000","2300000000","1","2300000000.0","2300000000"
"aprilia","dorsoduro 750 abs","2010","1500000","1500000","59","1500000.0","1500000"
"aprilia","dorsoduro 750 abs","2012","44444000","44444000","4","44444000.0","44444000.0"
"aprilia","dòng khác","1981","250000000","250000000","1","250000000.0","250000000"
"aprilia","dòng khác","1990","18000000","18000000","1","18000000.0","18000000"
"aprilia","dòng khác","1996","9500000","9500000","1","9500000.0","9500000"
"aprilia","dòng khác","1999","4800000","4800000","2","4800000.0","4800000.0"
"aprilia","dòng khác","2000","22500000","18000000","49","18091836.734693877","18000000"
"aprilia","dòng khác","2001","55000000","55000000","51","55000000.0","55000000"
"aprilia","dòng khác","2003","5300000","2900000","60","5186666.666666667","5300000.0"
"aprilia","dòng khác","2004","98000000","1600000","2","49800000.0","49800000.0"
"aprilia","dòng khác","2005","85000000","1500000","187","46541176.47058824","50000000"
"aprilia","dòng khác","2006","29800000","1300000","4","12525000.0","9500000.0"
"aprilia","dòng khác","2007","90000000","3300000","335","32630805.970149253","20000000"
"aprilia","dòng khác","2008","75000000","2500000","284","40768309.85915493","55000000.0"
"aprilia","dòng khác","2009","90000000","4000000","72","45354166.666666664","10000000.0"
"aprilia","dòng khác","2010","75000000","1500000","53","46026415.094339624","70000000"
"aprilia","dòng khác","2011","45000000","3000000","109","5090825.688073395","4700000"
"aprilia","dòng khác","2012","15000000","10000000","2","12500000.0","12500000.0"
"aprilia","dòng khác","2013","8000000","2000000","60","7250000.0","8000000.0"
"aprilia","dòng khác","2014","102000000","3500000","33","31651515.151515152","32000000"
"aprilia","dòng khác","2015","180000000","2500000","62","87311290.32258065","90000000.0"
"aprilia","dòng khác","2016","18500000","5000000","4","8375000.0","5000000.0"
"aprilia","dòng khác","2017","390000000","3800000","82","48398024.3902439","26500000.0"
"aprilia","dòng khác","2018","50000000","5300000","103","9560194.174757281","9500000"
"aprilia","dòng khác","2019","47000000","3000000","98","34507142.85714286","28000000.0"
"aprilia","dòng khác","2020","25000000","1500000","47","2000000.0","1500000"
"aprilia","dòng khác","2021","10000000","10000000","4","10000000.0","10000000.0"
"aprilia","dòng khác (nhập khẩu)","2008","14500000","14500000","1","14500000.0","14500000"
"aprilia","dòng khác (nhập khẩu)","2009","14000000","14000000","1","14000000.0","14000000"
"aprilia","rsv4 rf","2004","3200000","3200000","6","3200000.0","3200000.0"
"aprilia","rsv4 rf","2009","5000000","4000000","63","4238095.238095238","4000000"
"aprilia","rsv4 rf","2015","14800000","14800000","11","14800000.0","14800000"
"aprilia","rsv4 rf","2016","8500000","7800000","2","8150000.0","8150000.0"
"aprilia","rsv4 rf","2017","660000000","610000000","22","612272727.2727273","610000000.0"
"aprilia","rsv4 rf","2020","3000000","3000000","23","3000000.0","3000000"
"aprilia","rsv4 rf le","2007","8500000","8500000","1","8500000.0","8500000"
"aprilia","rsv4 rf le","2012","5000000","5000000","1","5000000.0","5000000"
"aprilia","rsv4 rf le","2015","6900000","6900000","1","6900000.0","6900000"
"aprilia","rsv4 rf le","2017","645000000","645000000","1","645000000.0","645000000"
"aprilia","rsv4 rr","2000","5700000","5700000","1","5700000.0","5700000"
"aprilia","rsv4 rr","2010","4900000","4200000","3","4533333.333333333","4500000"
"aprilia","rsv4 rr","2011","25000000","25000000","1","25000000.0","25000000"
"aprilia","rsv4 rr","2012","2000000","2000000","48","2000000.0","2000000.0"
"aprilia","rsv4 rr","2013","3900000","3900000","1","3900000.0","3900000"
"aprilia","rsv4 rr","2016","32000000","1500000","74","25817567.56756757","32000000.0"
"aprilia","rsv4 rr","2018","85000000","9000000","2","47000000.0","47000000.0"
"aprilia","shiver 750","2009","110000000","80000000","106","93867924.52830188","80000000.0"
"aprilia","shiver 750","2010","130000000","6500000.0","57","125666666.66666667","130000000"
"aprilia","shiver 750","2012","118000000","7777777","30","14859258.533333333","7777777.0"
"aprilia","sr motard 50","1981","15000000","15000000","57","15000000.0","15000000"
"aprilia","sr motard 50","2007","4000000","4000000","1","4000000.0","4000000"
"aprilia","sr motard 50","2018","4500000","4500000","32","4500000.0","4500000.0"
"aprilia","sr motard 50","2019","14500000","14500000","1","14500000.0","14500000"
"aprilia","tuono v4 1100 factory abs","2010","30000000","21000000","3","26333333.333333332","28000000"
"aprilia","tuono v4 1100 factory abs","2016","1200000","1200000","1","1200000.0","1200000"
"aprilia","tuono v4 1100 factory abs","2020","1300000","1300000","1","1300000.0","1300000"
"aprilia","tuono v4 1100 rr abs","2000","1100000","1100000","1","1100000.0","1100000"
"aprilia","tuono v4 1100 rr abs","2008","4600000","4600000","16","4600000.0","4600000.0"
"aprilia","tuono v4 1100 rr abs","2010","7500000","7500000","1","7500000.0","7500000"
"bazan","dream","1980","17000000","17000000","1","17000000.0","17000000"
"bazan","dream","1981","10000000","1200000","10","5420000.0","5800000.0"
"bazan","dream","1988","35000000","35000000","60","35000000.0","35000000.0"
"bazan","dream","1990","3000000","3000000","1","3000000.0","3000000"
"bazan","dream","1993","2000000","2000000","1","2000000.0","2000000"
"bazan","dream","1994","65000000","8000000","62","63177419.35483871","65000000.0"
"bazan","dream","1995","15000000","15000000","4","15000000.0","15000000.0"
"bazan","dream","1996","22000000","18000000","2","20000000.0","20000000.0"
"bazan","dream","1997","52000000","8000000","63","21079365.07936508","21000000"
"bazan","dream","1998","155000000","155000000","1","155000000.0","155000000"
"bazan","dream","1999","65000000","12000000","40","49175000.0","45000000.0"
"bazan","dream","2000","24000000","2500000","8","8312500.0","4500000.0"
"bazan","dream","2001","24000000","3500000","106","4169811.320754717","3500000.0"
"bazan","dream","2002","16000000","3200000","106","3935849.0566037735","3250000.0"
"bazan","dream","2003","6000000","1000000","4","3900000.0","4300000.0"
"bazan","dream","2004","19800000","3200000","210","10130476.19047619","6000000.0"
"bazan","dream","2005","18000000","3500000","4","7825000.0","4900000.0"
"bazan","dream","2006","15000000","1800000","74","9756756.756756756","13000000.0"
"bazan","dream","2007","555555000","2900000","196","50633239.79591837","11000000.0"
"bazan","dream","2008","23445000","1000000","91","4900384.615384615","3100000"
"bazan","dream","2009","8500000","1300000","29","5284482.75862069","6000000"
"bazan","dream","2010","1000000000","1500000","213","14978403.755868545","13000000"
"bazan","dream","2011","29000000","1400000","74","10228378.378378378","10000000.0"
"bazan","dream","2012","380000000","2500000","235","69738723.40425532","3400000"
"bazan","dream","2013","99999000","4700000","9","28911000.0","25500000"
"bazan","dream","2014","19000000","9500000","68","9705882.352941176","9500000.0"
"bazan","dream","2015","17000000","1800000","89","4126966.2921348317","2500000"
"bazan","dream","2016","45999000","1500000","136","5990433.823529412","1500000.0"
"bazan","dream","2017","45000000","1900000","78","33341730.769230768","40000000.0"
"bazan","dream","2018","58000000","1700000","74","18816216.216216218","15000000.0"
"bazan","dream","2019","135000000","1000000","284","35935563.38028169","20500000.0"
"bazan","dream","2020","500000000","1000000","136","31979411.76470588","13000000.0"
"bazan","dream","2021","18000000","1000000","310","9316129.032258065","3200000.0"
"bazan","dream (nhập khẩu)","2008","22000000","22000000","1","22000000.0","22000000"
"bazan","dream (nhập khẩu)","2012","34000000","34000000","1","34000000.0","34000000"
"bazan","dream (nhập khẩu)","2017","15500000","14000000","53","14056603.773584906","14000000"
"bazan","dòng khác","1980","50000000","7777000","2","28888500.0","28888500.0"
"bazan","dòng khác","1981","10000000","1000000","65","7693846.153846154","8000000"
"bazan","dòng khác","1982","25000000","1350000","34","12833823.529411765","13000000.0"
"bazan","dòng khác","1985","16500000","8000000","88","8096590.909090909","8000000.0"
"bazan","dòng khác","1986","58000000","6500000","38","12144736.842105264","11000000.0"
"bazan","dòng khác","1987","9000000","1800000","2","5400000.0","5400000.0"
"bazan","dòng khác","1988","60000000","8500000","3","25833333.333333332","9000000"
"bazan","dòng khác","1989","123456000","1500000","35","55717942.85714286","25000000"
"bazan","dòng khác","1990","777777000","4000000","103","12643466.019417476","6000000"
"bazan","dòng khác","1991","7500000","7500000","1","7500000.0","7500000"
"bazan","dòng khác","1992","8000000","7000000","2","7500000.0","7500000.0"
"bazan","dòng khác","1993","1500000","1500000","1","1500000.0","1500000"
"bazan","dòng khác","1994","40000000","5400000","6","15316666.666666666","12250000.0"
"bazan","dòng khác","1995","15500000","2500000","57","4681263.157894737","3003000"
"bazan","dòng khác","1996","30000000","1400000","247","12402429.14979757","12000000"
"bazan","dòng khác","1997","60000000","2000000","180","25801055.555555556","15000000.0"
"bazan","dòng khác","1998","10000000","3000000","60","3273333.3333333335","3000000.0"
"bazan","dòng khác","1999","30000000","3200000","162","16373456.790123457","15500000.0"
"bazan","dòng khác","2000","160000000","1000000","444","13486225.225225225","7500000.0"
"bazan","dòng khác","2001","59000000","1800000","115","15966956.52173913","20000000"
"bazan","dòng khác","2002","25000000","1000000","61","6667213.1147540985","6500000"
"bazan","dòng khác","2003","450000000","2000000","130","73591538.46153846","10000000.0"
"bazan","dòng khác","2004","27000000","1500000","60","12610000.0","15300000.0"
"bazan","dòng khác","2005","123456000","1500000","386","6830715.025906736","6500000.0"
"bazan","dòng khác","2006","123554000","1800000","215","26790479.06976744","2999000"
"bazan","dòng khác","2007","123456000","1300000","232","8950672.413793104","4950000.0"
"bazan","dòng khác","2008","220000000","1500000","742","25938610.51212938","6500000.0"
"bazan","dòng khác","2009","130500000","1000000","768","17620820.3125","3700000.0"
"bazan","dòng khác","2010","55000000","1200000","979","12461674.15730337","7000000"
"bazan","dòng khác","2011","128000000","2500000","577","17566637.781629115","15000000"
"bazan","dòng khác","2012","55000000","1000000","362","11961602.209944751","9000000.0"
"bazan","dòng khác","2013","110000000","2700000","359","8857520.891364902","8500000"
"bazan","dòng khác","2014","45000000","1000000","334","16575449.101796407","14500000.0"
"bazan","dòng khác","2015","275000000","1200000","703","22555963.015647225","19000000"
"bazan","dòng khác","2016","300000000","1000000","719","27053317.107093185","12345000"
"bazan","dòng khác","2017","400000000","1000000","627","28496736.842105262","20000000"
"bazan","dòng khác","2018","1010000000","1000000","1473","40223201.6293279","25000000"
"bazan","dòng khác","2019","1234567000","1000000","1090","45671222.01834863","36000000.0"
"bazan","dòng khác","2020","580000000","1000000","1355","35130940.959409595","25000000"
"bazan","dòng khác","2021","123456000","1234000","292","31794595.89041096","4200000.0"
"bazan","dòng khác (nhập khẩu)","2007","125000000","125000000","1","125000000.0","125000000"
"bazan","dòng khác (nhập khẩu)","2011","195000000","8888000","2","101944000.0","101944000.0"
"bazan","dòng khác (nhập khẩu)","2013","80000000","12700000","2","46350000.0","46350000.0"
"bazan","dòng khác (nhập khẩu)","2016","25000000","25000000","1","25000000.0","25000000"
"bazan","dòng khác (nhập khẩu)","2017","46999000","42000000","2","44499500.0","44499500.0"
